n,mse,rmse,mae,median_abs_error,bias,p90_abs_error,p95_abs_error,p99_abs_error,max_abs_error,seed,regime,option_type
259,0.0009505981593394331,0.030831771913716426,0.01739070610827092,0.008662844212829812,-0.0014309495008538817,0.04468220302482883,0.06398201993624635,0.13512285483139624,0.17110432678595822,23,jan27,PE
1052,1.1645834341416835e-05,0.0034125993526074572,0.001597774850035263,0.0008114154622228462,0.0006555759098333026,0.0030568040445606895,0.005488805501155095,0.014323845895567254,0.042578928635161994,23,pre27,CE
1045,1.5030404488954856e-06,0.0012259855010951335,0.0007597429486981588,0.0005317501314026918,0.00018182953905519184,0.0015741082056013101,0.002079108708279857,0.004153795199421199,0.014948404528745698,23,pre27,PE
265,0.002375882385080356,0.0487430239632335,0.019432066725386093,0.008945560781468354,-0.001570499371226765,0.03408228952854466,0.06032898763830778,0.21967609667416854,0.46811393452674865,31,jan27,CE
259,0.0014589826058179012,0.03819663081762449,0.018853399220298796,0.008490066946609365,0.002408875926474559,0.039043383915382646,0.07177411831936657,0.1283017174447142,0.3525820822737833,31,jan27,PE
1052,7.480309844715485e-06,0.0027350155108729246,0.001522607565220878,0.0008983610816846524,0.0005842128888783879,0.002961703988609716,0.005140831204768499,0.011020036152438833,0.02294293599256869,31,pre27,CE
1045,1.5107060881404227e-06,0.0012291078423557562,0.0007599048423644108,0.0005165712323139116,0.00019713169427056895,0.0015480883697135462,0.002429776526572985,0.004798113455632944,0.012451463651834596,31,pre27,PE
265,0.0009453089941842082,0.030745877677897052,0.01818305038110784,0.008867167013906274,0.0017355255533451383,0.044405314676716975,0.07162920908559937,0.11925775265561832,0.15861453042440754,43,jan27,CE
259,0.0011051278241980048,0.03324346287915873,0.018793828039466675,0.009482330626092939,-0.0008632765325896494,0.04730583224366535,0.06418470870431281,0.13896631892355799,0.17832899772884697,43,jan27,PE
1052,1.1920457598053397e-05,0.003452601569549171,0.001696930378738022,0.0009355114567214454,0.0005810560622024614,0.0033106130264054937,0.006001845089075125,0.018044098298211526,0.032235660342081904,43,pre27,CE
1045,8.785702308480344e-07,0.0009373207726536495,0.0006762788334985331,0.0004991065421686147,0.00018923965764233258,0.001465137933208055,0.0020022391205247593,0.002962173437562804,0.005595608052225198,43,pre27,PE
265,0.0012340792757323921,0.03512946449538325,0.017869334641352735,0.009332774253200227,0.0035271192833416735,0.03175736033661948,0.06847325795389768,0.1559449554795035,0.24080464266798884,47,jan27,CE
259,0.0006429244227794107,0.025355954385102734,0.014612753090561913,0.008019012493908129,0.003935543951319163,0.030459129577357507,0.05098307949434058,0.09824794463738634,0.1819222457971307,47,jan27,PE
1052,8.768689162478239e-06,0.0029611972515315894,0.0015270345339398782,0.0008295213600605991,0.000626070670120733,0.00303980768624348,0.004942207916830003,0.015720647171571442,0.023676921789823585,47,pre27,CE
1045,1.6758427268637742e-06,0.0012945434434053476,0.0007363903742143386,0.00051287705853309,0.0001847073762140938,0.0014783422007587754,0.0019570726714889073,0.003797228116207258,0.022580267819128502,47,pre27,PE
265,0.0010003311540229044,0.031628012173118066,0.018667570741234478,0.009894552845802984,0.0009038715951294901,0.045428954271500885,0.07298713584196431,0.11501650901309118,0.18073531206730267,59,jan27,CE
259,0.002277991220432012,0.047728306280780716,0.022939260904661654,0.010052601897092561,-0.00495795792961911,0.05484777698995015,0.09403649805898487,0.18557928935312223,0.42263751158692076,59,jan27,PE
1052,8.959437645629267e-06,0.0029932319732405084,0.0015885776304162395,0.0008820727033944931,0.0006272918496726514,0.0032464465283662367,0.0057703626231695995,0.014055029064078139,0.028132605406060898,59,pre27,CE
1045,1.2328054025507861e-06,0.0011103177034303227,0.0006999098731500362,0.0005261149960129885,0.0002436168597184757,0.001408760675920784,0.0018937485966770222,0.003977026603737206,0.013050609514776823,59,pre27,PE
